"";"rooms";"location";"condition";"m2";"type";"price"
"1";0,693147180559945;1;0;3,91202300542815;1;10,4631033404715
"3";1,09861228866811;1;0;4,20469261939097;1;11,0821425488778
"6";1,09861228866811;0;0;4,40671924726425;1;11,3504065354725
"7";0,693147180559945;0;0;3,80666248977032;1;10,77895628989
"9";0;1;1;3,71357206670431;0;10,3089526606443
"10";0,693147180559945;1;1;4,14313472639153;0;10,7363966754712
"12";0;0;1;3,63758615972639;0;10,3089526606443
"13";0,693147180559945;0;0;3,80666248977032;1;10,2750511089686
"14";0,693147180559945;0;0;3,55534806148941;1;10,1266311038503
"15";1,79175946922805;0;0;5,09375020080676;1;12,0435537160324
"17";0;1;1;3,78418963391826;0;10,3089526606443
"18";0;0;1;3,63758615972639;0;10,4631033404715
"19";0,693147180559945;0;0;3,97029191355212;1;10,8780471925343
"23";1,09861228866811;0;0;4,35670882668959;1;11,47210347045
"24";1,09861228866811;0;0;4,96284463025991;1;12,4292161968444
"26";1,09861228866811;1;0;4,04305126783455;1;11,0020998412042
"27";0,693147180559945;0;1;3,68887945411394;1;10,4912742174382
"28";0,693147180559945;0;0;3,98898404656427;1;10,8589989975636
"29";0,693147180559945;1;1;3,80666248977032;1;10,3089526606443
"30";1,09861228866811;1;0;4,60517018598809;0;11,6952470217642
"31";0;0;1;3,91202300542815;0;10,4631033404715
"34";0,693147180559945;0;0;4,43081679884331;1;11,7752897294377
"36";1,09861228866811;0;0;4,4188406077966;1;11,3265958867787
"37";1,09861228866811;1;0;4,21950770517611;1;11,0508900053737
"38";0,693147180559945;1;0;4,06044301054642;0;11,1562505210315
"40";0,693147180559945;0;0;3,63758615972639;1;10,1266311038503
"41";1,38629436111989;0;0;4,98360662170834;1;11,4075649493124
"42";0;0;0;3,87120101090789;1;11,0020998412042
"43";1,09861228866811;1;0;4,04305126783455;1;10,7472075915754
"44";1,09861228866811;1;0;4,0943445622221;0;11,3504065354725
"45";1,09861228866811;1;1;4,23410650459726;1;11,0508900053737
"46";1,09861228866811;0;0;4,24849524204936;1;11,2252433925184
"47";1,09861228866811;0;0;4,9416424226093;1;12,5425448821514
"48";1,09861228866811;1;0;4,35670882668959;1;11,4075649493124
"49";0;1;0;3,61091791264422;1;10,4631033404715
"50";1,09861228866811;1;0;4,30406509320417;1;11,0186291431554
"51";1,38629436111989;1;0;4,23410650459726;1;10,7995755770928
"54";0,693147180559945;0;1;4,0943445622221;1;11,0821425488778
"56";1,09861228866811;0;0;4,77068462446567;0;12,2060726455302
"58";0;0;1;4,18965474202643;0;11,332482143188
"59";0;1;1;4,02535169073515;0;10,6454248972655
"60";0;0;1;4,15888308335967;0;10,8434948110276
"61";0;0;1;4,18965474202643;0;10,8680349729736
"62";0;0;1;4,31748811353631;0;10,9945379889969
"64";1,09861228866811;0;1;4,47733681447821;0;11,1568503411035
"65";0;1;1;3,76120011569356;0;10,1961944792357
"66";0;1;1;3,78418963391826;0;10,2247736324017
"67";0;1;1;3,78418963391826;0;10,2051834707483
"68";0;1;1;3,76120011569356;0;10,1819522754383
"70";0,693147180559945;1;1;4,06044301054642;0;10,4488885009418
"74";0,693147180559945;1;1;4,30406509320417;0;10,6963895662331
"75";1,09861228866811;1;1;4,67282883446191;0;11,0462124158226
"76";0;0;1;3,95124371858143;0;10,8589989975636
"77";1,09861228866811;0;1;4,54329478227;0;11,1982147201305
"78";0;0;1;4,02535169073515;0;10,8197782844103
"79";0;0;1;3,91202300542815;0;10,5966347330961
"80";0;0;1;3,98898404656427;0;10,5834988337029
"81";0,693147180559945;0;1;4,36944785246702;0;10,916269584599
"82";0,693147180559945;0;1;4,40671924726425;0;10,9967019655176
